id,per_square_meter_price
COL_289284,32584.447677454064
COL_289305,51821.8715192377
COL_289318,53403.483869228105
COL_289354,59865.50499399056
COL_289399,65675.907981818
COL_289428,42506.21950015659
COL_289460,46349.02421155511
COL_289493,47450.44080674827
COL_289495,60745.601432149204
COL_289749,37763.02066928035
COL_289763,176258.28382633577
COL_289778,49225.327309891174
COL_289801,29782.772874160575
COL_289971,34303.90849318726
COL_290143,54220.02661074214
COL_290169,145681.45589256714
COL_290252,26299.00326700071
COL_290336,30748.202636410824
COL_290398,40538.213269514265
COL_290403,55588.54523308467
COL_290431,26463.254183064706
COL_290466,58880.848397162255
COL_290486,54769.68232216646
COL_290497,28088.446516750864
COL_290510,56900.406387554955
COL_290559,43771.02930010877
COL_290600,110768.96197876382
COL_290602,116505.12198523371
COL_290716,54650.249854744296
COL_290717,22341.088439456867
COL_290876,42535.2649334804
COL_290966,42699.428090792506
COL_291008,30078.15501513898
COL_291021,206973.91466516166
COL_291043,53307.47785154534
COL_291190,58033.33175903571
COL_291192,43881.778887522734
COL_291274,39618.57963228762
COL_291284,53573.69018424216
COL_291397,35070.621947352214
COL_291450,54277.95801343594
COL_291738,96945.51803151221
COL_291740,32779.711292941305
COL_291825,27988.325481664313
COL_291900,43134.263822202876
COL_292045,45797.11891434704
COL_292135,44369.72140839227
COL_292258,31675.375132480476
COL_292275,18922.29143776192
COL_292279,64079.409339116035
COL_292364,44966.50129684778
COL_292417,28064.494867958365
COL_292421,57126.33115364588
COL_292501,43058.21901932863
COL_292654,111541.1763930209
COL_292906,54494.45303676014
COL_292926,27671.138556674465
COL_293123,53606.82974791095
COL_293135,32330.383743779235
COL_293496,55369.7041492225
COL_293497,45519.17219664121
COL_293588,144640.64421831642
COL_293614,143297.16121645484
COL_293631,57059.119129607796
COL_293703,34518.490103011056
COL_293773,30788.789774248024
COL_293780,48979.83044677012
COL_293783,26186.668871946276
COL_293826,33097.62840919242
COL_293889,56764.521643483204
COL_293952,52045.10928227019
COL_293956,30604.189505887578
COL_294068,55984.61755331237
COL_294101,48446.71375623286
COL_294115,49096.67090147703
COL_294143,42536.46299491065
COL_294200,38068.46079774284
COL_294245,27883.16963104043
COL_294261,23291.753122458344
COL_294293,46187.67865695039
COL_294300,52076.209769760746
COL_294350,35072.25204412056
COL_294488,52030.2400145763
COL_294525,61610.491662220425
COL_294553,58961.95910595249
COL_294558,50303.601169040594
COL_294593,51749.37343088285
COL_294691,65872.8498729864
COL_294716,29505.357872094104
COL_294729,49641.971640926036
COL_294785,73973.14185606339
COL_294917,46475.72994240472
COL_294951,15673.346962273667
COL_294975,45883.31582627653
COL_295255,32328.144606727772
COL_295327,12203.914289065213
COL_295509,31707.85854262854
COL_295595,71838.20810971569
COL_296322,37929.04139586459
COL_296509,21529.366612455553
COL_296521,154429.5243669816
COL_296756,31598.78527690879
COL_296901,45167.657344760046
COL_297293,25084.83069369514
COL_297324,37136.44227093809
COL_297326,58615.34719050145
COL_297329,39925.800273792105
COL_297441,41255.87075808553
COL_297472,36796.89603434295
COL_297631,49325.07055881716
COL_297815,62195.606188048514
COL_298020,33938.371669553206
COL_298046,39678.799457985784
COL_298052,31596.39142362665
COL_298055,93658.41129784935
COL_298064,34926.66155576093
COL_298075,49092.52503513846
COL_298099,35601.15728864659
COL_298101,45587.17787393817
COL_298102,33826.19048304605
COL_298103,33826.19048304605
COL_298104,35312.74891880442
COL_298261,44171.817119464664
COL_298459,233613.96361295
COL_298471,41772.95595898049
COL_298481,67862.69249868984
COL_298516,56594.354033258765
COL_298532,32673.39794129412
COL_298539,43206.932453911875
COL_298593,171977.70207833854
COL_298719,29522.92408033965
COL_298724,37798.53552098945
COL_298733,48290.44886168134
COL_298817,60467.64295814946
COL_298837,47805.87937013251
COL_298968,190804.64432665933
COL_299209,63822.09204961044
COL_299221,205880.47997937066
COL_299361,35133.604309969254
COL_299366,40334.65076703586
COL_299450,58149.921311147016
COL_299454,54551.97046759607
COL_299455,53937.52283045238
COL_299459,55685.1501681071
COL_299464,42607.472384619134
COL_299468,48400.73173043293
COL_299486,57598.17471663329
COL_299491,59304.80176246573
COL_299497,47291.09370678103
COL_299499,31535.97619947309
COL_299501,55102.13375280205
COL_299540,38533.171653713485
COL_299615,58130.19885067255
COL_299659,249661.1311338279
COL_299678,154243.8894230948
COL_299795,37258.20654949546
COL_299818,47545.663438476484
COL_299819,57880.65187689649
COL_299820,59000.760630008976
COL_299960,35780.42873741351
COL_300095,54998.88097018452
COL_300108,136216.97443635028
COL_300125,31373.14227317599
COL_300144,213519.8408662062
COL_300225,41485.54557961403
COL_300305,216883.39938868897
COL_300423,32963.01729876268
COL_300491,29168.269955370233
COL_300562,38879.132803142864
COL_300747,33390.73774721484
COL_300816,53294.85672538474
COL_300942,57385.949531472776
COL_300959,40635.43232357794
COL_300962,58283.88317269716
COL_301220,31057.26406122935
COL_301285,47008.00126052515
COL_301290,49965.2614888299
COL_301303,49690.55296198714
COL_301367,28538.54260409279
COL_301368,29375.804730512675
COL_301378,66052.41090870646
COL_301401,62620.018466590074
COL_301444,19627.163969871777
COL_301445,46143.10552366748
COL_301574,112065.81631153222
COL_301649,30265.039944119635
COL_301669,50601.29411833487
COL_301670,41223.065957601066
COL_301679,41218.49461996
COL_301709,36650.90360391034
COL_301757,137813.37400700836
COL_301819,33777.540057417784
COL_301820,38744.98095804809
COL_301821,41941.932348765324
COL_301822,39057.66025889463
COL_301823,37886.44355664908
COL_301843,33420.15333484023
COL_301976,51463.66479037007
COL_301986,35146.064505364564
COL_302097,57989.61497594764
COL_302111,52125.327319951866
COL_302139,46647.663779843126
COL_302293,43874.8263994607
COL_302294,33164.07906353968
COL_302428,52441.83208031383
COL_302465,30908.746366501633
COL_302497,84250.00889888659
COL_302548,32365.51705675197
COL_302597,44644.41170097978
COL_302726,56338.488977211775
COL_302745,51388.10901275406
COL_302873,48152.80176831063
COL_302926,46199.72616145309
COL_302986,38533.41561050164
COL_302987,36154.28234878464
COL_302994,63401.59640423996
COL_303002,57934.90566517462
COL_303004,36525.13796910778
COL_303007,33720.12708989489
COL_303069,48421.26218768928
COL_303147,25961.68704426336
COL_303265,40457.71076914255
COL_303285,55370.154187757034
COL_303366,30419.42799813438
COL_303405,106551.96569117846
COL_303564,53462.49085845186
COL_303569,24834.54988033346
COL_303618,57542.75192758677
COL_303623,49841.77764864452
COL_303624,49841.77764864452
COL_303625,48129.807470658554
COL_303626,39531.36304999539
COL_303627,49469.51231623179
COL_303637,29088.753764388042
COL_303638,40055.03702791035
COL_304041,40122.77388142838
COL_304147,429746.6374208682
COL_304255,197299.41663504805
COL_304280,71453.96458019388
COL_304320,45228.778976058114
COL_304322,49059.473788317475
COL_304323,31717.28923373601
COL_304324,22450.57384048335
COL_304325,31717.28923373601
COL_304367,34218.418675494846
COL_304546,48562.6772159644
COL_304550,50424.13936677304
COL_304552,63841.31577965033
COL_304561,39369.32051450333
COL_304585,56353.89288592888
COL_304853,60025.35738176857
COL_304902,28226.608864291877
COL_304978,52840.46609657474
COL_304984,29716.608746535443
COL_305002,62545.344458062114
COL_305017,48098.320591664684
COL_305038,33844.5976850966
COL_305057,35247.990446677126
COL_305058,35686.13955345941
COL_305059,35686.13955345941
COL_305114,280537.99007811735
COL_305373,75030.35018214668
COL_305382,59515.09720200707
COL_305383,57810.03843322593
COL_305384,60256.208449264945
COL_305385,60256.208449264945
COL_305386,59764.56333196261
COL_305387,60256.208449264945
COL_305388,59079.357388768934
COL_305413,49450.523292089034
COL_305607,53296.268055929744
COL_305652,55751.83700657223
COL_305726,130232.2177543213
COL_305896,70010.39169048193
COL_305924,43641.104704176636
COL_305926,43641.104704176636
COL_306033,57741.10284963702
COL_306088,72651.5415887499
COL_306141,29954.390401059918
COL_306143,40990.07337294483
COL_306144,45241.29995647911
COL_306151,52381.59871646345
COL_306153,49964.156923147864
COL_306154,47518.08491343898
COL_306155,39311.36693973582
COL_306206,49257.4425829682
COL_306621,47540.07154092641
COL_306728,47461.28268747053
COL_306758,34444.60774583147
COL_306763,60396.92006921281
COL_306803,41168.05443603835
COL_306853,34934.23732927219
COL_306892,35856.27501775219
COL_306938,57692.55433253935
COL_307001,64221.77957539618
COL_307043,55913.300103443195
COL_307158,52305.57603744573
COL_307269,55200.5418762235
COL_307356,50098.02997671622
COL_307480,46799.23543428799
COL_307529,64843.700895265676
COL_307623,34517.57345714976
COL_307819,43843.611726258794
COL_307874,46323.227313273856
COL_307945,55163.19306156621
COL_307986,48103.46390190459
COL_308206,48484.2246701867
COL_308211,42003.502750649706
COL_308429,52633.93369268197
COL_308446,32236.142399998826
COL_308472,54376.26057631363
COL_308486,68283.12947185003
COL_308492,70398.04037160332
COL_308493,67774.9725016292
COL_308743,39542.43444452311
COL_308803,41450.817431630116
COL_308813,64597.1393927815
COL_308963,48690.16893946439
COL_308966,21868.62327904038
COL_309079,33712.55795567856
COL_309121,41484.55077616416
COL_309434,48589.02845283588
COL_309612,35985.722963760396
COL_309635,18286.522038779804
COL_309640,46836.15407087064
COL_309642,27115.18362830614
COL_309784,31449.54308757841
COL_310093,34976.44680634565
COL_310107,34976.44680634565
COL_310164,46770.162890535306
COL_310207,46420.138560662155
COL_310218,43503.56678465354
COL_310311,44823.10569263942
COL_310315,46897.6366609471
COL_310359,52412.04915123497
COL_310405,51053.67303368046
COL_310447,84596.99145369547
COL_310503,41437.24398151178
COL_310570,37318.35317144844
COL_310590,48780.7592216227
COL_310604,50498.470097708145
COL_310641,122507.99034213148
COL_310642,51476.200747710915
COL_310656,189597.40305523862
COL_310722,24557.49032422064
COL_310897,34461.56102953914
COL_311016,25454.06737651758
COL_311017,39738.50567771664
COL_311018,38506.69078320391
COL_311025,23675.64829342215
COL_311026,27001.89748675639
COL_311068,30115.860971606045
COL_311128,36793.653123372605
COL_311187,125734.36120468892
COL_311188,125734.36120468892
COL_311328,187498.49380665165
COL_311348,42571.639638282955
COL_311537,48140.45585374622
COL_311660,40961.30723269652
COL_311665,34216.8014233125
COL_311698,26804.9689318422
COL_311704,188058.64471798026
COL_311870,55868.05354260954
COL_312002,40012.05000272253
COL_312005,422499.14152887283
COL_312006,146073.4092948785
COL_312007,143847.27440300616
COL_312010,57176.09845092073
COL_312014,47212.56273474274
COL_312208,43329.57704153305
COL_312270,35288.51088341649
COL_312284,49031.073645338794
COL_312290,29797.753419887074
COL_312323,54900.267267383715
COL_312335,50861.622208848115
COL_312455,64121.04865843133
COL_312609,38361.50832539294
COL_312628,36724.475090985514
COL_312649,49265.74182830206
COL_312672,51833.14988845085
COL_312673,60484.722595444924
COL_312695,43504.88414833089
COL_312997,231088.65141901004
COL_313006,43437.007416756234
COL_313065,54972.43116470699
COL_313068,53642.77093787295
COL_313211,46219.56571312811
COL_313268,396871.4137431856
COL_313304,33606.16719560638
COL_313352,34691.67561778489
COL_313363,48269.03633871546
COL_313535,58186.25876622217
COL_313559,125559.00874083272
COL_313572,40963.06710087604
COL_313573,40963.06710087604
COL_313574,39952.06951725059
COL_313597,36340.812066234415
COL_313606,59856.31327462329
COL_313694,61482.44328032099
COL_313703,33711.17607557485
COL_313717,61708.25357368652
COL_313789,23318.07581498547
COL_313791,40831.87251020673
COL_313814,54924.66383610303
COL_314054,55760.38925020578
COL_314055,55614.63800381942
COL_314058,53152.87102553197
COL_314069,32635.935122667324
COL_314170,37304.977663837766
COL_314185,49756.365026275074
COL_314186,24053.16604655889
COL_314187,34879.40643668633
COL_314190,49900.65969374529
COL_314196,33847.317667962096
COL_314211,45375.075329739164
COL_314230,56399.43609815087
COL_314308,27144.75498471236
COL_314419,52330.75976155665
COL_314536,40980.355313984335
COL_314628,43232.38355616781
COL_314746,44966.07504805368
COL_314818,53524.03617264168
COL_314821,53524.03617264168
COL_314859,41213.10392194119
COL_314860,33870.85616125143
COL_314899,62637.43798194841
COL_314907,36056.23537382093
COL_314997,26987.568304119468
COL_315015,130293.49890720144
COL_315135,31344.143959119294
COL_315502,44143.667104057655
COL_315578,50472.56143148508
COL_315599,32956.37024522623
COL_315602,32152.50113085243
COL_315621,35367.44736613376
COL_315652,151056.50538994282
COL_315673,241094.36570068708
COL_315724,25586.264000699623
COL_315806,20124.31738944584
COL_315970,58230.89366842216
